company,role
Charles Schwab,CEO
Charles Schwab,CIO
Charles Schwab,CTO
Charles Schwab,CISO
Charles Schwab,COO
Charles Schwab,President
Square Enix,CEO
Square Enix,CIO
Square Enix,CTO
Square Enix,CISO
Square Enix,COO
Square Enix,President
Activision Blizzard,CEO
Activision Blizzard,CIO
Activision Blizzard,CTO
Activision Blizzard,CISO
Activision Blizzard,COO
Activision Blizzard,President
Line Corporation,CEO
Line Corporation,CIO
Line Corporation,CTO
Line Corporation,CISO
Line Corporation,COO
Line Corporation,President
Grab,CEO
Grab,CIO
Grab,CTO
Grab,CISO
Grab,COO
Grab,President
Xiaomi,CEO
Xiaomi,CIO
Xiaomi,CTO
Xiaomi,CISO
Xiaomi,COO
Xiaomi,President
BYD,CEO
BYD,CIO
BYD,CTO
BYD,CISO
BYD,COO
BYD,President
Zomato,CEO
Zomato,CIO
Zomato,CTO
Zomato,CISO
Zomato,COO
Zomato,President
Sanofi,CEO
Sanofi,CIO
Sanofi,CTO
Sanofi,CISO
Sanofi,COO
Sanofi,President
Qatar Airways,CEO
Qatar Airways,CIO
Qatar Airways,CTO
Qatar Airways,CISO
Qatar Airways,COO
Qatar Airways,President
BAE Systems,CEO
BAE Systems,CIO
BAE Systems,CTO
BAE Systems,CISO
BAE Systems,COO
BAE Systems,President
Tesla,CEO
Tesla,CIO
Tesla,CTO
Tesla,CISO
Tesla,COO
Tesla,President
CyberArk,CEO
CyberArk,CIO
CyberArk,CTO
CyberArk,CISO
CyberArk,COO
CyberArk,President
Zscaler,CEO
Zscaler,CIO
Zscaler,CTO
Zscaler,CISO
Zscaler,COO
Zscaler,President
Foxconn,CEO
Foxconn,CIO
Foxconn,CTO
Foxconn,CISO
Foxconn,COO
Foxconn,President
Workday,CEO
Workday,CIO
Workday,CTO
Workday,CISO
Workday,COO
Workday,President
Intercom,CEO
Intercom,CIO
Intercom,CTO
Intercom,CISO
Intercom,COO
Intercom,President
Gartner,CEO
Gartner,CIO
Gartner,CTO
Gartner,CISO
Gartner,COO
Gartner,President
VMware,CEO
VMware,CIO
VMware,CTO
VMware,CISO
VMware,COO
VMware,President
Mondelez,CEO
Mondelez,CIO
Mondelez,CTO
Mondelez,CISO
Mondelez,COO
Mondelez,President
HP Inc.,CEO
HP Inc.,CIO
HP Inc.,CTO
HP Inc.,CISO
HP Inc.,COO
HP Inc.,President
Cloudflare,CEO
Cloudflare,CIO
Cloudflare,CTO
Cloudflare,CISO
Cloudflare,COO
Cloudflare,President
Rio Tinto,CEO
Rio Tinto,CIO
Rio Tinto,CTO
Rio Tinto,CISO
Rio Tinto,COO
Rio Tinto,President
Klarna,CEO
Klarna,CIO
Klarna,CTO
Klarna,CISO
Klarna,COO
Klarna,President
Nintendo,CEO
Nintendo,CIO
Nintendo,CTO
Nintendo,CISO
Nintendo,COO
Nintendo,President
Danone,CEO
Danone,CIO
Danone,CTO
Danone,CISO
Danone,COO
Danone,President
SAP,CEO
SAP,CIO
SAP,CTO
SAP,CISO
SAP,COO
SAP,President
Moderna,CEO
Moderna,CIO
Moderna,CTO
Moderna,CISO
Moderna,COO
Moderna,President
Fidelity,CEO
Fidelity,CIO
Fidelity,CTO
Fidelity,CISO
Fidelity,COO
Fidelity,President
Unity,CEO
Unity,CIO
Unity,CTO
Unity,CISO
Unity,COO
Unity,President
IDC,CEO
IDC,CIO
IDC,CTO
IDC,CISO
IDC,COO
IDC,President
Cognizant,CEO
Cognizant,CIO
Cognizant,CTO
Cognizant,CISO
Cognizant,COO
Cognizant,President
Lyft,CEO
Lyft,CIO
Lyft,CTO
Lyft,CISO
Lyft,COO
Lyft,President
Lufthansa,CEO
Lufthansa,CIO
Lufthansa,CTO
Lufthansa,CISO
Lufthansa,COO
Lufthansa,President
Hyundai,CEO
Hyundai,CIO
Hyundai,CTO
Hyundai,CISO
Hyundai,COO
Hyundai,President
Booking.com,CEO
Booking.com,CIO
Booking.com,CTO
Booking.com,CISO
Booking.com,COO
Booking.com,President
Box,CEO
Box,CIO
Box,CTO
Box,CISO
Box,COO
Box,President
Naver,CEO
Naver,CIO
Naver,CTO
Naver,CISO
Naver,COO
Naver,President
Vodafone,CEO
Vodafone,CIO
Vodafone,CTO
Vodafone,CISO
Vodafone,COO
Vodafone,President
Epic Games,CEO
Epic Games,CIO
Epic Games,CTO
Epic Games,CISO
Epic Games,COO
Epic Games,President
Worldline,CEO
Worldline,CIO
Worldline,CTO
Worldline,CISO
Worldline,COO
Worldline,President
Google Cloud,CEO
Google Cloud,CIO
Google Cloud,CTO
Google Cloud,CISO
Google Cloud,COO
Google Cloud,President
Snowflake,CEO
Snowflake,CIO
Snowflake,CTO
Snowflake,CISO
Snowflake,COO
Snowflake,President
GitLab,CEO
GitLab,CIO
GitLab,CTO
GitLab,CISO
GitLab,COO
GitLab,President
Panasonic,CEO
Panasonic,CIO
Panasonic,CTO
Panasonic,CISO
Panasonic,COO
Panasonic,President
TCS,CEO
TCS,CIO
TCS,CTO
TCS,CISO
TCS,COO
TCS,President
Airbus,CEO
Airbus,CIO
Airbus,CTO
Airbus,CISO
Airbus,COO
Airbus,President
Niantic,CEO
Niantic,CIO
Niantic,CTO
Niantic,CISO
Niantic,COO
Niantic,President
Zendesk,CEO
Zendesk,CIO
Zendesk,CTO
Zendesk,CISO
Zendesk,COO
Zendesk,President
Square,CEO
Square,CIO
Square,CTO
Square,CISO
Square,COO
Square,President
Singapore Airlines,CEO
Singapore Airlines,CIO
Singapore Airlines,CTO
Singapore Airlines,CISO
Singapore Airlines,COO
Singapore Airlines,President
Glencore,CEO
Glencore,CIO
Glencore,CTO
Glencore,CISO
Glencore,COO
Glencore,President
DigitalOcean,CEO
DigitalOcean,CIO
DigitalOcean,CTO
DigitalOcean,CISO
DigitalOcean,COO
DigitalOcean,President
Airtable,CEO
Airtable,CIO
Airtable,CTO
Airtable,CISO
Airtable,COO
Airtable,President
Flipkart,CEO
Flipkart,CIO
Flipkart,CTO
Flipkart,CISO
Flipkart,COO
Flipkart,President
FedEx,CEO
FedEx,CIO
FedEx,CTO
FedEx,CISO
FedEx,COO
FedEx,President
Lenovo,CEO
Lenovo,CIO
Lenovo,CTO
Lenovo,CISO
Lenovo,COO
Lenovo,President
Red Hat,CEO
Red Hat,CIO
Red Hat,CTO
Red Hat,CISO
Red Hat,COO
Red Hat,President
Fastly,CEO
Fastly,CIO
Fastly,CTO
Fastly,CISO
Fastly,COO
Fastly,President
Ubisoft,CEO
Ubisoft,CIO
Ubisoft,CTO
Ubisoft,CISO
Ubisoft,COO
Ubisoft,President
HashiCorp,CEO
HashiCorp,CIO
HashiCorp,CTO
HashiCorp,CISO
HashiCorp,COO
HashiCorp,President
NetEase Games,CEO
NetEase Games,CIO
NetEase Games,CTO
NetEase Games,CISO
NetEase Games,COO
NetEase Games,President
MercadoLibre,CEO
MercadoLibre,CIO
MercadoLibre,CTO
MercadoLibre,CISO
MercadoLibre,COO
MercadoLibre,President
Figma,CEO
Figma,CIO
Figma,CTO
Figma,CISO
Figma,COO
Figma,President
Meituan,CEO
Meituan,CIO
Meituan,CTO
Meituan,CISO
Meituan,COO
Meituan,President
Smartsheet,CEO
Smartsheet,CIO
Smartsheet,CTO
Smartsheet,CISO
Smartsheet,COO
Smartsheet,President
Rakuten,CEO
Rakuten,CIO
Rakuten,CTO
Rakuten,CISO
Rakuten,COO
Rakuten,President
AMD,CEO
AMD,CIO
AMD,CTO
AMD,CISO
AMD,COO
AMD,President
Thomson Reuters,CEO
Thomson Reuters,CIO
Thomson Reuters,CTO
Thomson Reuters,CISO
Thomson Reuters,COO
Thomson Reuters,President
Okta,CEO
Okta,CIO
Okta,CTO
Okta,CISO
Okta,COO
Okta,President
General Motors,CEO
General Motors,CIO
General Motors,CTO
General Motors,CISO
General Motors,COO
General Motors,President
Palo Alto Networks,CEO
Palo Alto Networks,CIO
Palo Alto Networks,CTO
Palo Alto Networks,CISO
Palo Alto Networks,COO
Palo Alto Networks,President
BP,CEO
BP,CIO
BP,CTO
BP,CISO
BP,COO
BP,President
Freshworks,CEO
Freshworks,CIO
Freshworks,CTO
Freshworks,CISO
Freshworks,COO
Freshworks,President
ZoomInfo,CEO
ZoomInfo,CIO
ZoomInfo,CTO
ZoomInfo,CISO
ZoomInfo,COO
ZoomInfo,President
DocuSign,CEO
DocuSign,CIO
DocuSign,CTO
DocuSign,CISO
DocuSign,COO
DocuSign,President
Southwest Airlines,CEO
Southwest Airlines,CIO
Southwest Airlines,CTO
Southwest Airlines,CISO
Southwest Airlines,COO
Southwest Airlines,President
AT&T,CEO
AT&T,CIO
AT&T,CTO
AT&T,CISO
AT&T,COO
AT&T,President
DoorDash,CEO
DoorDash,CIO
DoorDash,CTO
DoorDash,CISO
DoorDash,COO
DoorDash,President
ClickUp,CEO
ClickUp,CIO
ClickUp,CTO
ClickUp,CISO
ClickUp,COO
ClickUp,President
Adyen,CEO
Adyen,CIO
Adyen,CTO
Adyen,CISO
Adyen,COO
Adyen,President
GoDaddy,CEO
GoDaddy,CIO
GoDaddy,CTO
GoDaddy,CISO
GoDaddy,COO
GoDaddy,President
Forrester,CEO
Forrester,CIO
Forrester,CTO
Forrester,CISO
Forrester,COO
Forrester,President
Deutsche Telekom,CEO
Deutsche Telekom,CIO
Deutsche Telekom,CTO
Deutsche Telekom,CISO
Deutsche Telekom,COO
Deutsche Telekom,President
KPMG,CEO
KPMG,CIO
KPMG,CTO
KPMG,CISO
KPMG,COO
KPMG,President
Expedia,CEO
Expedia,CIO
Expedia,CTO
Expedia,CISO
Expedia,COO
Expedia,President
Monday.com,CEO
Monday.com,CIO
Monday.com,CTO
Monday.com,CISO
Monday.com,COO
Monday.com,President
Linode,CEO
Linode,CIO
Linode,CTO
Linode,CISO
Linode,COO
Linode,President
SAIC Motor,CEO
SAIC Motor,CIO
SAIC Motor,CTO
SAIC Motor,CISO
SAIC Motor,COO
SAIC Motor,President
Tyson Foods,CEO
Tyson Foods,CIO
Tyson Foods,CTO
Tyson Foods,CISO
Tyson Foods,COO
